Distance_to_Zone_km,Recent_Elephant_Count,Time_of_Day,Weather,Risk_Level
1.48,11,Night,Heavy Rain,CRITICAL
9.41,9,Afternoon,Light Rain,LOW
14.31,2,Night,Light Rain,LOW
12.42,4,Morning,Heavy Rain,LOW
9.98,11,Morning,Light Rain,LOW
10.33,0,Dusk,Heavy Rain,LOW
7.79,21,Afternoon,Light Rain,MEDIUM
8.32,8,Dusk,Clear,LOW
11.66,11,Night,Clear,LOW
11.31,25,Afternoon,Clear,LOW
13.32,19,Dusk,Heavy Rain,LOW
13.09,22,Night,Heavy Rain,LOW
0.7,22,Morning,Light Rain,CRITICAL
4.52,23,Night,Clear,HIGH
12.69,24,Morning,Light Rain,LOW
2.25,9,Afternoon,Light Rain,HIGH
2.77,23,Morning,Heavy Rain,CRITICAL
3.65,20,Dusk,Clear,CRITICAL
14.59,25,Morning,Clear,LOW
2.71,15,Dusk,Clear,CRITICAL
10.49,8,Morning,Clear,LOW
9.42,12,Dusk,Light Rain,LOW
6.09,4,Morning,Heavy Rain,MEDIUM
4.39,22,Morning,Light Rain,MEDIUM
2.78,3,Afternoon,Heavy Rain,HIGH
7.43,14,Dusk,Light Rain,MEDIUM
4.54,17,Dusk,Light Rain,HIGH
7.7,5,Morning,Heavy Rain,MEDIUM
3.17,4,Morning,Clear,MEDIUM
5.23,0,Night,Heavy Rain,LOW
5.05,25,Morning,Light Rain,MEDIUM
3.13,13,Morning,Heavy Rain,CRITICAL
7.95,25,Afternoon,Clear,MEDIUM
2.0,12,Morning,Clear,CRITICAL
14.82,13,Afternoon,Light Rain,LOW
13.76,21,Night,Clear,LOW
1.12,12,Dusk,Heavy Rain,CRITICAL
7.86,8,Morning,Heavy Rain,MEDIUM
11.57,8,Dusk,Heavy Rain,LOW
4.37,25,Night,Light Rain,HIGH
8.83,0,Afternoon,Clear,LOW
8.72,23,Afternoon,Heavy Rain,LOW
8.87,14,Night,Clear,LOW
5.84,4,Morning,Heavy Rain,MEDIUM
6.0,24,Dusk,Clear,MEDIUM
3.69,3,Dusk,Heavy Rain,HIGH
12.87,25,Afternoon,Heavy Rain,LOW
5.57,15,Night,Light Rain,MEDIUM
12.68,9,Afternoon,Heavy Rain,LOW
13.75,23,Afternoon,Light Rain,LOW
13.65,18,Morning,Clear,LOW
13.16,22,Night,Heavy Rain,LOW
1.98,23,Morning,Light Rain,CRITICAL
6.73,11,Afternoon,Light Rain,MEDIUM
4.88,17,Morning,Light Rain,HIGH
4.05,24,Night,Clear,HIGH
1.99,8,Afternoon,Clear,HIGH
9.97,13,Afternoon,Clear,LOW
5.97,6,Night,Light Rain,MEDIUM
6.92,8,Afternoon,Light Rain,MEDIUM
5.95,13,Morning,Light Rain,MEDIUM
8.86,7,Morning,Heavy Rain,LOW
2.08,14,Night,Heavy Rain,CRITICAL
4.61,9,Dusk,Light Rain,HIGH
10.85,1,Morning,Clear,LOW
2.5,0,Afternoon,Clear,LOW
8.61,9,Night,Light Rain,LOW
6.95,2,Morning,Clear,MEDIUM
2.64,22,Afternoon,Clear,CRITICAL
3.98,0,Afternoon,Light Rain,LOW
3.92,12,Dusk,Light Rain,CRITICAL
4.81,8,Afternoon,Clear,MEDIUM
6.9,4,Afternoon,Light Rain,MEDIUM
11.93,22,Afternoon,Heavy Rain,LOW
11.33,21,Dusk,Heavy Rain,LOW
7.26,17,Afternoon,Heavy Rain,MEDIUM
11.93,21,Morning,Light Rain,LOW
2.24,2,Afternoon,Light Rain,MEDIUM
1.94,25,Dusk,Light Rain,CRITICAL
1.44,3,Night,Heavy Rain,HIGH
12.89,22,Afternoon,Heavy Rain,LOW
3.85,15,Morning,Heavy Rain,CRITICAL
4.23,8,Dusk,Heavy Rain,HIGH
5.09,17,Night,Light Rain,MEDIUM
7.65,16,Night,Heavy Rain,MEDIUM
0.48,22,Morning,Heavy Rain,CRITICAL
